Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.96804095,138.5889348,Y,Y,Y,,Y,,Y,
2018,Optus,-35.00227999,138.5217735,,Y,,,Y,,,
2018,Optus,-35.19223639,138.4829579,Y,Y,Y,,Y,,Y,
2018,Optus,-35.12565053,138.6373828,Y,Y,Y,,Y,,,Y
2018,Optus,-34.91277169,138.6256462,Y,Y,Y,,Y,,Y,
2018,Optus,-34.74873311,138.6646693,Y,Y,Y,,Y,,Y,
2018,Optus,-34.81951199,138.6019774,Y,Y,Y,,Y,,,
2018,Optus,-34.807342,138.701707,Y,Y,Y,,Y,,Y,
2018,Optus,-37.6035647,140.4804602,Y,,Y,,,,,
2018,Optus,-35.10644733,138.5195588,Y,Y,Y,,Y,,Y,
2018,Optus,-34.95001184,138.658876,Y,Y,Y,,Y,,,
2018,Optus,-35.12892702,138.5045982,Y,Y,Y,,Y,,,
2018,Optus,-35.07887162,138.8883735,Y,Y,Y,,Y,,Y,
2018,Optus,-34.65883413,138.7085313,Y,Y,Y,,Y,,,
2018,Optus,-34.80068303,138.6854687,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89345054,138.5117252,Y,Y,Y,,Y,,Y,
2018,Optus,-33.02741079,137.5492136,Y,Y,Y,,,,,Y
2018,Optus,-35.1447875,139.27177,Y,Y,Y,,,,,Y
2018,Optus,-37.82303742,140.7546417,Y,Y,Y,,,,,Y
2018,Optus,-37.83771788,140.802832,Y,Y,Y,,,,,Y
2018,Optus,-34.7908133,138.7040191,Y,Y,Y,,Y,,,
2018,Optus,-34.97661812,138.6089439,,Y,,,,,,
2018,Optus,-34.92829028,138.5968546,,Y,,,Y,,,
2018,Optus,-34.18083891,140.7418835,Y,Y,Y,,,,,Y
2018,Optus,-34.67674246,138.5678394,Y,Y,Y,,Y,,Y,
2018,Optus,-35.76304671,137.776612,Y,Y,Y,,Y,,,
2018,Optus,-34.67052028,139.453702,Y,Y,Y,,,,,
2018,Optus,-35.55973739,138.5983351,Y,Y,Y,,Y,,,
2018,Optus,-34.90837932,139.3095644,Y,Y,Y,,Y,,,
2018,Optus,-35.50673112,138.7214994,Y,Y,Y,,Y,,,
2018,Optus,-35.3356188,138.5989789,Y,Y,Y,,Y,,,
2018,Optus,-34.807335,138.701794,,Y,,,,,,
2018,Optus,-34.84929563,138.6754958,Y,Y,Y,,Y,,Y,
2018,Optus,-34.94003664,138.5368477,,Y,,,Y,,,
2018,Optus,-30.48967268,136.8909596,Y,,,,,,,
2018,Optus,-34.74391157,135.8509481,Y,Y,Y,,Y,Y,,
2018,Optus,-33.20943762,137.9996419,Y,Y,Y,,Y,Y,,
2018,Optus,-34.43158628,139.0571611,Y,Y,Y,,Y,,,Y
2018,Optus,-35.57837709,138.5821146,Y,Y,Y,,Y,,,
2018,Optus,-34.16235274,136.0599338,Y,Y,Y,,,,,Y
2018,Optus,-34.18097078,139.9864842,Y,Y,Y,,Y,,,
2018,Optus,-34.578811,139.2895995,Y,Y,Y,,Y,,,
2018,Optus,-33.14234367,135.1073362,Y,,Y,,,,,
2018,Optus,-33.28441453,136.181435,Y,,Y,,,,,
2018,Optus,-33.10538692,138.1626973,Y,,Y,,,,,
2018,Optus,-27.55046478,135.4466949,Y,,,,,,,
2018,Optus,-34.88002738,138.4904041,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.91821586,138.5536913,Y,Y,Y,,Y,,Y,
2018,Optus,-34.88099037,138.4897631,,Y,,,Y,,Y,Y
2018,Optus,-34.62859313,138.6023005,Y,,Y,,Y,,,Y
2018,Optus,-35.25156789,138.4709788,Y,Y,Y,,Y,,,
2018,Optus,-34.80499817,138.6104318,Y,Y,Y,,Y,,Y,
